ENTREZID	SYMBOL	ENSEMBL	GENENAME
101927592	LINC02405	ENSG00000249345	long intergenic non-protein coding RNA 2405
101927616	LINC02375	ENSG00000256362	long intergenic non-protein coding RNA 2375
101927637	LINC02411	ENSG00000256022	long intergenic non-protein coding RNA 2411
400087	LINC02393	ENSG00000256597	long intergenic non-protein coding RNA 2393
104472718	LINC00508	NA	long intergenic non-protein coding RNA 508
100862680	LINC00507	ENSG00000256193	long intergenic non-protein coding RNA 507
100996679	LINC02369	ENSG00000256551	long intergenic non-protein coding RNA 2369
101927694	LINC02368	ENSG00000256659	long intergenic non-protein coding RNA 2368
100616298	NA	NA	NA
92293	TMEM132C	ENSG00000181234	transmembrane protein 132C
100500817	MIR3612	ENSG00000265635	microRNA 3612
121260	SLC15A4	ENSG00000139370	solute carrier family 15 member 4
144423	GLT1D1	ENSG00000151948	glycosyltransferase 1 domain containing 1
121256	TMEM132D	ENSG00000151952	transmembrane protein 132D
283352	TMEM132D-AS1	ENSG00000249196	TMEM132D antisense RNA 1
101927735	TMEM132D-AS2	ENSG00000256699	TMEM132D antisense RNA 2
100190940	LINC02418	ENSG00000214039	long intergenic non-protein coding RNA 2418
440119	FZD10-AS1	ENSG00000250208	FZD10 antisense divergent transcript
11211	FZD10	ENSG00000111432	frizzled class receptor 10
9271	PIWIL1	ENSG00000125207	piwi like RNA-mediated gene silencing 1
9271	PIWIL1	ENSG00000275051	piwi like RNA-mediated gene silencing 1
23504	RIMBP2	ENSG00000060709	RIMS binding protein 2
2054	STX2	ENSG00000111450	syntaxin 2
5901	RAN	ENSG00000132341	RAN, member RAS oncogene family
283383	ADGRD1	ENSG00000111452	adhesion G protein-coupled receptor D1
116437	LINC01257	ENSG00000204603	long intergenic non-protein coding RNA 1257
338797	LINC02370	NA	long intergenic non-protein coding RNA 2370
100996701	LOC100996701	NA	uncharacterized LOC100996701
6433	SFSWAP	ENSG00000061936	splicing factor SWAP
4326	MMP17	ENSG00000198598	matrix metallopeptidase 17
8408	ULK1	ENSG00000177169	unc-51 like autophagy activating kinase 1
80324	PUS1	ENSG00000177192	pseudouridine synthase 1
57634	EP400	ENSG00000183495	E1A binding protein p400
677829	SNORA49	ENSG00000208892	small nucleolar RNA, H/ACA box 49
347918	EP400P1	ENSG00000291171	EP400 pseudogene 1
317781	DDX51	ENSG00000185163	DEAD-box helicase 51
317781	DDX51	ENSG00000288503	DEAD-box helicase 51
79050	NOC4L	ENSG00000184967	nucleolar complex associated 4 homolog
79050	NOC4L	ENSG00000288146	nucleolar complex associated 4 homolog
50614	GALNT9	ENSG00000182870	polypeptide N-acetylgalactosaminyltransferase 9
50614	GALNT9	ENSG00000288490	polypeptide N-acetylgalactosaminyltransferase 9
100130238	GALNT9-AS1	NA	GALNT9 antisense RNA 1
101928416	LOC101928416	ENSG00000255916	uncharacterized LOC101928416
101928416	LOC101928416	ENSG00000288458	uncharacterized LOC101928416
100129528	MUC8	NA	mucin 8
57666	FBRSL1	ENSG00000112787	fibrosin like 1
100996573	NA	NA	NA
102465975	MIR6763	ENSG00000277052	microRNA 6763
100507055	LRCOL1	ENSG00000204583	leucine rich colipase like 1
22953	P2RX2	ENSG00000187848	purinergic receptor P2X 2
5426	POLE	ENSG00000177084	DNA polymerase epsilon, catalytic subunit
5827	PXMP2	ENSG00000176894	peroxisomal membrane protein 2
192111	PGAM5	ENSG00000247077	PGAM family member 5, mitochondrial serine/threonine protein phosphatase
23141	ANKLE2	ENSG00000176915	ankyrin repeat and LEM domain containing 2
2802	GOLGA3	ENSG00000090615	golgin A3
55743	CHFR	ENSG00000072609	checkpoint with forkhead and ring finger domains
