ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0051347	GO:0051347	positive regulation of transferase activity	18/720	161/18860	0.111801242236025	2.92857142857143	4.8960564089009	4.47246133786148e-05	0.0028008063079439	0.0025556921930637	63967/991/8543/23411/8091/5985/5983/57214/23531/55704/11065/1894/5984/10333/2069/2146/8797/79075	18
GO:0030071	GO:0030071	regulation of mitotic metaphase/anaphase transition	13/720	92/18860	0.141304347826087	3.70138888888889	5.1746259562155	4.54850846882149e-05	0.0028119112611099	0.00256582529010443	55143/991/83540/11130/55055/9212/6605/147841/699/11065/891/54908/10783	13
GO:0044786	GO:0044786	cell cycle DNA replication	9/720	46/18860	0.195652173913043	5.125	5.58045018911615	5.07740123626118e-05	0.00309914288117106	0.0028279196758923	2237/144455/5888/54962/79915/80174/9837/8318/10926	9
GO:0033045	GO:0033045	regulation of sister chromatid segregation	14/720	107/18860	0.130841121495327	3.42731048805815	5.01636098637799	5.60544670865736e-05	0.00337868300364322	0.00308299568976155	55143/991/83540/11130/23411/55055/9212/6605/147841/699/11065/891/54908/10783	14
GO:0006270	GO:0006270	DNA replication initiation	8/720	37/18860	0.216216216216216	5.66366366366366	5.65705759361007	6.26808838454627e-05	0.00373144718398545	0.00340488751753131	55388/64318/23649/23594/8318/5558/4176/222229	8
GO:1902099	GO:1902099	regulation of metaphase/anaphase transition of cell cycle	13/720	95/18860	0.136842105263158	3.58450292397661	5.03119885892155	6.40136665629962e-05	0.0037489733740126	0.00342087989333377	55143/991/83540/11130/55055/9212/6605/147841/699/11065/891/54908/10783	13
GO:0051445	GO:0051445	regulation of meiotic cell cycle	11/720	70/18860	0.157142857142857	4.11626984126984	5.20388419910535	6.45302343515234e-05	0.0037489733740126	0.00342087989333377	2827/991/11130/119504/10635/5139/994/3976/993/5810/286151	11
GO:0007091	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	13/720	96/18860	0.135416666666667	3.54716435185185	4.98467456270274	7.14976970283968e-05	0.00409580065555636	0.00373735439329075	55143/991/83540/11130/55055/9212/6605/147841/699/11065/891/54908/10783	13
GO:1901976	GO:1901976	regulation of cell cycle checkpoint	9/720	48/18860	0.1875	4.91145833333333	5.40566065565177	7.21988916885712e-05	0.00409580065555636	0.00373735439329075	55143/11130/5888/79968/55159/9212/672/26272/891	9
GO:1901989	GO:1901989	positive regulation of cell cycle phase transition	15/720	126/18860	0.119047619047619	3.11838624338624	4.7531563394624	9.29163047093533e-05	0.00520979559661048	0.00475385745024598	991/163786/51514/6240/7465/595/1111/79915/80174/994/11065/993/891/2146/301	15
